CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Date,Time,PoluutionLevel
0,0.578431373,0,0.173,0.45799458,0,0.307864331,0,0.574774775,0.410622275,0.419,0.392,0.333,4/14/2004,17.00.00,0
0,0.585784314,0,0.198,0.484191509,0,0.297800969,0,0.57981982,0.453428458,0.417,0.391,0.33,4/14/2004,18.00.00,0
0,0.604901961,0,0.209,0.494579946,0,0.294073798,0,0.59027027,0.480380499,0.401,0.404,0.326,4/14/2004,19.00.00,0
0,0.698529412,0,0.284,0.56097561,0,0.251584048,0,0.66954955,0.588981371,0.37,0.475,0.352,4/14/2004,20.00.00,0
0,0.647058824,0,0.204,0.490063234,0,0.272083489,0,0.608648649,0.570749108,0.332,0.56,0.373,4/14/2004,21.00.00,0
0,0.567647059,0,0.122,0.402890696,0,0.324263884,0,0.538378378,0.492271106,0.3,0.612,0.372,4/14/2004,22.00.00,0
0,0.519607843,0,0.091,0.363595303,0,0.359299292,0,0.510990991,0.431629013,0.3,0.611,0.373,4/14/2004,23.00.00,0
0,0.507843137,0,0.074,0.336946703,0,0.385389489,0,0.491531532,0.393579073,0.276,0.649,0.368,4/15/2004,00.00.00,0
0,0.462254902,0,0.049,0.298102981,0,0.433469996,0,0.467387387,0.341656758,0.26,0.663,0.359,4/15/2004,01.00.00,0
0,0.440686275,0,0.033,0.266937669,0,0.463287365,0,0.453693694,0.323028141,0.24,0.702,0.358,4/15/2004,02.00.00,0
0,0.435784314,0,0.027,0.252484192,0,0.49608647,0,0.447207207,0.282996433,0.229,0.713,0.353,4/15/2004,03.00.00,0
0,0.415196078,0,0.02,0.238030714,0,0.527767425,0,0.438198198,0.270313119,0.235,0.691,0.348,4/15/2004,04.00.00,0
0,0.45,0,0.041,0.28229449,0,0.46775997,0,0.467747748,0.294887039,0.209,0.742,0.346,4/15/2004,05.00.00,0
0,0.541666667,0,0.124,0.405149051,0,0.3376817,0,0.544144144,0.416171225,0.204,0.76,0.35,4/15/2004,06.00.00,0
0,0.730882353,0,0.336,0.60298103,0,0.232948192,0,0.721081081,0.603250099,0.229,0.709,0.351,4/15/2004,07.00.00,0
0,0.739215686,0,0.347,0.612014453,0,0.226984719,0,0.732972973,0.643281807,0.26,0.662,0.359,4/15/2004,08.00.00,0
0.328,0.729901961,0.450798991,0.3,0.573622403,0.209,0.235929929,0.335,0.680720721,0.649227111,0.303,0.602,0.368,4/15/2004,09.00.00,1
0.319,0.71127451,0.404541632,0.272,0.550587173,0.221,0.246366008,0.374,0.65009009,0.647245343,0.336,0.556,0.375,4/15/2004,10.00.00,1
0.319,0.712745098,0.386879731,0.275,0.5532972,0.202,0.246366008,0.397,0.651891892,0.655568767,0.383,0.475,0.364,4/15/2004,11.00.00,1
0.328,0.682352941,0.502102607,0.267,0.546522132,0.174,0.256802087,0.397,0.645765766,0.61791518,0.413,0.416,0.348,4/15/2004,12.00.00,1
0.294,0.662254902,0.391084945,0.267,0.546522132,0.132,0.264256429,0.353,0.642522523,0.544589774,0.433,0.399,0.351,4/15/2004,13.00.00,0
0.336,0.695098039,0.455845248,0.306,0.579042457,0.156,0.25382035,0.379,0.681081081,0.56202933,0.43,0.402,0.351,4/15/2004,14.00.00,0
0.252,0.63872549,0.367535744,0.232,0.516260163,0.115,0.278792397,0.335,0.624864865,0.486722156,0.482,0.343,0.344,4/15/2004,15.00.00,0
0.261,0.633333333,0.322119428,0.22,0.504065041,0.13,0.278046962,0.379,0.603963964,0.512485137,0.439,0.39,0.35,4/15/2004,16.00.00,0
0.437,0.764705882,0.654331371,0.383,0.638211382,0.17,0.221393962,0.438,0.737297297,0.650812525,0.439,0.4,0.359,4/15/2004,17.00.00,1
0.496,0.865196078,0.778805719,0.441,0.680668473,0.195,0.198658218,0.438,0.818378378,0.751089972,0.41,0.497,0.411,4/15/2004,18.00.00,1
0.613,0.919117647,1,0.529,0.739385727,0.237,0.179649646,0.465,0.881441441,0.8267935,0.39,0.539,0.421,4/15/2004,19.00.00,1
0.513,0.855882353,0.693019344,0.38,0.636404697,0.216,0.206112561,0.435,0.763603604,0.752279033,0.377,0.561,0.424,4/15/2004,20.00.00,1
0.387,0.787745098,0.55508831,0.311,0.582655827,0.178,0.218784942,0.394,0.706306306,0.696789536,0.363,0.6,0.436,4/15/2004,21.00.00,1
0.21,0.625980392,0.170731707,0.146,0.429990967,0.097,0.29891912,0.326,0.579099099,0.508917955,0.334,0.666,0.445,4/15/2004,22.00.00,0
0.185,0.591666667,0.114381833,0.115,0.392050587,0.08,0.326872903,0.312,0.552072072,0.426080063,0.312,0.722,0.454,4/15/2004,23.00.00,0
0.168,0.592647059,0.09587889,0.111,0.389792231,0.081,0.328736489,0.318,0.557477477,0.429647245,0.307,0.753,0.467,4/16/2004,00.00.00,0
0.16,0.582843137,0.092514718,0.105,0.381210479,0.065,0.330600075,0.274,0.564324324,0.415774871,0.3,0.785,0.479,4/16/2004,01.00.00,0
0.134,0.554901961,0.106812447,0.094,0.365853659,0.052,0.33507268,0.244,0.552072072,0.404676972,0.287,0.811,0.476,4/16/2004,02.00.00,0
0.084,0.47745098,0.057190917,0.042,0.286811201,0,0.431979128,0,0.49981982,0.30836306,0.289,0.772,0.455,4/16/2004,03.00.00,0
0.084,0.506372549,0.058873003,0.057,0.309846432,0.043,0.383898621,0.203,0.511711712,0.375743163,0.267,0.843,0.465,4/16/2004,04.00.00,0
0.101,0.526960784,0.078216989,0.085,0.353206865,0.066,0.350726798,0.226,0.542342342,0.391597305,0.26,0.861,0.467,4/16/2004,05.00.00,0
0.168,0.608823529,0.150546678,0.157,0.441734417,0.122,0.28997391,0.256,0.607567568,0.4692826,0.262,0.849,0.463,4/16/2004,06.00.00,0
0.378,0.812254902,0.439865433,0.364,0.625112918,0.238,0.215803205,0.321,0.784144144,0.634165676,0.287,0.8,0.468,4/16/2004,07.00.00,1
0.345,0.689215686,0.45920942,0.294,0.568202349,0.189,0.237048081,0.341,0.681081081,0.592548553,0.309,0.689,0.43,4/16/2004,08.00.00,1
0.218,0.56372549,0.211101766,0.155,0.439476061,0.126,0.308237048,0.309,0.572972973,0.470868014,0.343,0.579,0.398,4/16/2004,09.00.00,0
0.193,0.580392157,0.186711522,0.16,0.443992773,0.114,0.30674618,0.312,0.578018018,0.462148236,0.372,0.549,0.41,4/16/2004,10.00.00,0
0.218,0.599509804,0.178301093,0.173,0.45799458,0.116,0.291092061,0.318,0.60036036,0.483154974,0.395,0.526,0.418,4/16/2004,11.00.00,0
0.202,0.58627451,0.221194281,0.165,0.45031617,0.086,0.29891912,0.294,0.592432432,0.447086801,0.43,0.481,0.423,4/16/2004,12.00.00,0
0.361,0.764215686,0.449957948,0.297,0.572267389,0.156,0.243384271,0.438,0.737657658,0.544193421,0.352,0.705,0.497,4/16/2004,13.00.00,1
0.387,0.756862745,0.512195122,0.297,0.571815718,0.189,0.228475587,0.435,0.744504505,0.56084027,0.325,0.853,0.557,4/16/2004,14.00.00,1
0.336,0.727941176,0.377628259,0.275,0.552393857,0.164,0.24226612,0.371,0.713513514,0.516052319,0.323,0.873,0.567,4/16/2004,15.00.00,0
0.395,0.734313725,0.450798991,0.278,0.555555556,0.169,0.241893403,0.412,0.707387387,0.51843044,0.327,0.844,0.555,4/16/2004,16.00.00,1
0.479,0.780882353,0.62489487,0.361,0.622402891,0.209,0.216921357,0.418,0.778018018,0.57431629,0.327,0.857,0.563,4/16/2004,17.00.00,1
0.437,0.749509804,0.483599664,0.32,0.591237579,0.183,0.233693627,0.415,0.750630631,0.548949663,0.314,0.86,0.545,4/16/2004,18.00.00,1
0.538,0.827941176,0.658536585,0.421,0.665763324,0.218,0.20872158,0.438,0.828108108,0.591359493,0.312,0.879,0.551,4/16/2004,19.00.00,1
0.504,0.75245098,0.593776283,0.312,0.584914182,0.208,0.233693627,0.412,0.734774775,0.546967895,0.309,0.879,0.548,4/16/2004,20.00.00,1
0.286,0.639215686,0.251471825,0.196,0.481933153,0.151,0.274692508,0.344,0.652612613,0.46254459,0.303,0.895,0.548,4/16/2004,21.00.00,0
0.227,0.605392157,0.13372582,0.151,0.43495935,0.112,0.299291837,0.303,0.605405405,0.434007134,0.294,0.903,0.539,4/16/2004,22.00.00,0
0.261,0.627941176,0.143818335,0.157,0.441282746,0.116,0.295937384,0.291,0.610810811,0.43797067,0.287,0.913,0.534,4/16/2004,23.00.00,0
0.218,0.572058824,0.136248949,0.127,0.40831075,0.114,0.315318673,0.294,0.586306306,0.416567578,0.285,0.909,0.53,4/17/2004,00.00.00,0
0.185,0.555882353,0.093355761,0.111,0.389792231,0.081,0.323891167,0.259,0.576216216,0.399920729,0.28,0.922,0.531,4/17/2004,01.00.00,0
0.16,0.539215686,0.112699748,0.1,0.374435411,0.07,0.330600075,0.244,0.563963964,0.385255648,0.285,0.915,0.531,4/17/2004,02.00.00,0
0,0.518137255,0,0.08,0.346883469,0,0.357062989,0,0.55027027,0.350376536,0.278,0.929,0.531,4/17/2004,03.00.00,0
0,0.442156863,0,0.047,0.294489612,0,0.431606411,0,0.517837838,0.261989695,0.283,0.901,0.521,4/17/2004,04.00.00,0
0,0.481372549,0,0.066,0.327009937,0,0.393216549,0,0.543423423,0.306777646,0.287,0.902,0.527,4/17/2004,05.00.00,0
0,0.48872549,0,0.08,0.34733514,0,0.373462542,0,0.549189189,0.344034879,0.283,0.901,0.52,4/17/2004,06.00.00,0
0,0.559313725,0,0.127,0.407407407,0,0.337308982,0,0.602522523,0.382481173,0.28,0.897,0.517,4/17/2004,07.00.00,0
0,0.570098039,0,0.138,0.420054201,0,0.316436824,0,0.609369369,0.390408244,0.287,0.911,0.532,4/17/2004,08.00.00,0
0,0.542647059,0,0.113,0.390243902,0,0.339545285,0,0.578018018,0.381688466,0.303,0.88,0.538,4/17/2004,09.00.00,0
0,0.601960784,0,0.144,0.428635953,0,0.312336936,0,0.614774775,0.423701942,0.327,0.844,0.554,4/17/2004,10.00.00,0
0,0.506372549,0,0.094,0.365853659,0,0.361162877,0,0.54990991,0.342449465,0.377,0.688,0.52,4/17/2004,11.00.00,0
0,0.482352941,0,0.078,0.344625113,0,0.392843832,0,0.53045045,0.254062624,0.422,0.565,0.483,4/17/2004,12.00.00,0
0,0.52254902,0,0.118,0.39701897,0,0.349981364,0,0.553513514,0.293301625,0.433,0.531,0.468,4/17/2004,13.00.00,0
0,0.453921569,0,0.061,0.319331527,0,0.421170332,0,0.514954955,0.210860087,0.433,0.525,0.462,4/17/2004,14.00.00,0
0,0.479901961,0,0.078,0.345076784,0,0.392843832,0,0.526846847,0.226714229,0.442,0.501,0.452,4/17/2004,15.00.00,0
0,0.486764706,0,0.085,0.353658537,0,0.385016772,0,0.534054054,0.249702735,0.433,0.515,0.455,4/17/2004,16.00.00,0
0,0.475490196,0,0.078,0.344625113,0,0.388743943,0,0.526846847,0.240982957,0.401,0.563,0.455,4/17/2004,17.00.00,0
0,0.48872549,0,0.086,0.355916893,0,0.377935147,0,0.534054054,0.255251685,0.379,0.6,0.456,4/17/2004,18.00.00,0
0,0.537745098,0,0.122,0.402890696,0,0.338799851,0,0.574414414,0.330162505,0.361,0.631,0.455,4/17/2004,19.00.00,0
0,0.541666667,0,0.129,0.410117435,0,0.335445397,0,0.564324324,0.365834324,0.37,0.595,0.442,4/17/2004,20.00.00,0
0,0.486764706,0,0.083,0.350948509,0,0.380916884,0,0.534054054,0.313119302,0.379,0.576,0.437,4/17/2004,21.00.00,0
0,0.556862745,0,0.124,0.40469738,0,0.342527022,0,0.584864865,0.380895759,0.381,0.573,0.437,4/17/2004,22.00.00,0
0,0.635784314,0,0.168,0.453026197,0,0.297428252,0,0.612612613,0.466508125,0.379,0.618,0.469,4/17/2004,23.00.00,0
0,0.544117647,0,0.108,0.386178862,0,0.334327246,0,0.565045045,0.373761395,0.365,0.645,0.47,4/18/2004,00.00.00,0
0,0.503431373,0,0.099,0.373532069,0,0.351099515,0,0.550990991,0.294094332,0.359,0.634,0.455,4/18/2004,01.00.00,0
0,0.501960784,0,0.088,0.359078591,0,0.3660082,0,0.540900901,0.279429251,0.35,0.679,0.476,4/18/2004,02.00.00,0
0,0.48627451,0,0.085,0.353658537,0,0.368244502,0,0.55027027,0.262782402,0.327,0.769,0.506,4/18/2004,03.00.00,0
0,0.455392157,0,0.05,0.299909666,0,0.426388371,0,0.522162162,0.212445501,0.321,0.785,0.505,4/18/2004,04.00.00,0
0,0.437254902,0,0.03,0.261517615,0,0.487886694,0,0.503063063,0.174791914,0.309,0.811,0.507,4/18/2004,05.00.00,0
0,0.43872549,0,0.036,0.275067751,0,0.472605293,0,0.508108108,0.189060642,0.309,0.82,0.511,4/18/2004,06.00.00,0
0,0.448529412,0,0.038,0.276422764,0,0.471859858,0,0.508468468,0.200554895,0.318,0.815,0.521,4/18/2004,07.00.00,0
0,0.464215686,0,0.046,0.293134598,0,0.430115542,0,0.525765766,0.240982957,0.325,0.822,0.536,4/18/2004,08.00.00,0
0,0.505882353,0,0.066,0.325654923,0,0.392098397,0,0.557117117,0.262782402,0.318,0.852,0.547,4/18/2004,09.00.00,0
0,0.59754902,0,0.107,0.383468835,0,0.335818114,0,0.59963964,0.361474435,0.325,0.87,0.569,4/18/2004,10.00.00,0
0,0.596568627,0,0.115,0.392502258,0,0.325382035,0,0.598198198,0.381688466,0.334,0.84,0.562,4/18/2004,11.00.00,0
0,0.537745098,0,0.083,0.351851852,0,0.365262766,0,0.563963964,0.318271899,0.348,0.76,0.528,4/18/2004,12.00.00,0
0,0.459803922,0,0.053,0.304426378,0,0.423406634,0,0.516396396,0.223543401,0.374,0.631,0.472,4/18/2004,13.00.00,0
0,0.462745098,0,0.053,0.305781391,0,0.424897503,0,0.517477477,0.198573127,0.383,0.626,0.481,4/18/2004,14.00.00,0
0,0.558333333,0,0.107,0.382565492,0,0.346254193,0,0.578018018,0.277843837,0.363,0.703,0.512,4/18/2004,15.00.00,0
0,0.570098039,0,0.11,0.387985547,0,0.343272456,0,0.577657658,0.310344828,0.39,0.664,0.519,4/18/2004,16.00.00,0
0,0.567156863,0,0.121,0.399728997,0,0.341408871,0,0.572972973,0.310741181,0.392,0.616,0.484,4/18/2004,17.00.00,0
0,0.565686275,0,0.133,0.415085818,0,0.326500186,0,0.584864865,0.341260404,0.392,0.611,0.481,4/18/2004,18.00.00,0
0,0.657843137,0,0.212,0.497741644,0,0.277301528,0,0.657297297,0.458184701,0.381,0.621,0.476,4/18/2004,19.00.00,0
0,0.57745098,0,0.144,0.428635953,0,0.31569139,0,0.595675676,0.414982164,0.368,0.652,0.478,4/18/2004,20.00.00,0
0,0.564705882,0,0.137,0.418247516,0,0.31830041,0,0.601441441,0.409829568,0.354,0.681,0.481,4/18/2004,21.00.00,0
0,0.528431373,0,0.104,0.379855465,0,0.342899739,0,0.574774775,0.381292113,0.348,0.714,0.496,4/18/2004,22.00.00,0
0,0.572058824,0,0.143,0.426829268,0,0.307864331,0,0.613333333,0.435988902,0.336,0.735,0.495,4/18/2004,23.00.00,0
0,0.544607843,0,0.122,0.401987353,0,0.324636601,0,0.597477477,0.414982164,0.325,0.759,0.495,4/19/2004,00.00.00,0
0,0.484313725,0,0.066,0.326106594,0,0.383525904,0,0.540540541,0.346413,0.316,0.79,0.503,4/19/2004,01.00.00,0
0,0.449509804,0,0.053,0.305781391,0,0.41110697,0,0.538378378,0.2960761,0.309,0.826,0.516,4/19/2004,02.00.00,0
0,0.416666667,0,0.027,0.253839205,0,0.475214312,0,0.507027027,0.233452239,0.294,0.883,0.525,4/19/2004,03.00.00,0
0,0.433823529,0,0.033,0.266034327,0,0.461423779,0,0.52,0.251684503,0.291,0.882,0.523,4/19/2004,04.00.00,0
0,0.435294118,0,0.035,0.269647696,0,0.462914648,0,0.514594595,0.26595323,0.321,0.79,0.508,4/19/2004,05.00.00,0
0,0.539705882,0,0.108,0.384823848,0,0.340290719,0,0.596396396,0.393182719,0.314,0.799,0.507,4/19/2004,06.00.00,0
0,0.685784314,0,0.259,0.539747064,0,0.253447633,0,0.712072072,0.51843044,0.345,0.724,0.498,4/19/2004,07.00.00,0
0,0.649509804,0,0.294,0.569105691,0,0.243011554,0,0.70954955,0.516448672,0.37,0.653,0.485,4/19/2004,08.00.00,0
0,0.518627451,0,0.133,0.41598916,0,0.326500186,0,0.574414414,0.353943718,0.422,0.541,0.463,4/19/2004,09.00.00,0
0,0.485294118,0,0.107,0.382113821,0,0.352963101,0,0.541621622,0.283392786,0.437,0.488,0.435,4/19/2004,10.00.00,0
0,0.499019608,0,0.118,0.39701897,0,0.354081252,0,0.567207207,0.27150218,0.415,0.513,0.431,4/19/2004,11.00.00,0
0,0.541666667,0,0.171,0.456187895,0,0.302273574,0,0.615855856,0.375346809,0.404,0.526,0.429,4/19/2004,12.00.00,0
0,0.585294118,0,0.21,0.495483288,0,0.276928811,0,0.665585586,0.415774871,0.37,0.656,0.485,4/19/2004,13.00.00,0
0,0.533333333,0,0.124,0.403342367,0,0.33246366,0,0.563963964,0.293697979,0.271,0.852,0.478,4/19/2004,14.00.00,0
0,0.531372549,0,0.138,0.421409214,0,0.325009318,0,0.577297297,0.317479191,0.249,0.852,0.447,4/19/2004,15.00.00,0
0,0.591666667,0,0.181,0.466124661,0,0.297055535,0,0.612972973,0.384066587,0.235,0.891,0.449,4/19/2004,16.00.00,0
0,0.581372549,0,0.185,0.470641373,0,0.301155423,0,0.606846847,0.411414982,0.224,0.908,0.442,4/19/2004,17.00.00,0
0,0.516176471,0,0.13,0.411472448,0,0.341408871,0,0.550630631,0.352358304,0.253,0.795,0.421,4/19/2004,18.00.00,0
0,0.505882353,0,0.124,0.404245709,0,0.343272456,0,0.543423423,0.348394768,0.24,0.806,0.412,4/19/2004,19.00.00,0
0,0.484803922,0,0.105,0.382113821,0,0.357808423,0,0.531891892,0.335315101,0.222,0.834,0.404,4/19/2004,20.00.00,0
0,0.455882353,0,0.072,0.336495032,0,0.404398062,0,0.501261261,0.282203726,0.242,0.769,0.395,4/19/2004,21.00.00,0
0,0.466176471,0,0.078,0.345980126,0,0.393589266,0,0.515675676,0.2960761,0.229,0.834,0.411,4/19/2004,22.00.00,0
0,0.482843137,0,0.083,0.352303523,0,0.379053299,0,0.52036036,0.313515656,0.226,0.874,0.429,4/19/2004,23.00.00,0
0,0.459313725,0,0.061,0.317524842,0,0.423406634,0,0.496216216,0.25247721,0.222,0.876,0.426,4/20/2004,00.00.00,0
0,0.434803922,0,0.046,0.292682927,0,0.455460306,0,0.489009009,0.219183512,0.213,0.904,0.427,4/20/2004,01.00.00,0
0,0.395098039,0,0.024,0.245709124,0,0.532612747,0,0.464864865,0.177962743,0.213,0.899,0.425,4/20/2004,02.00.00,0
0,0.377941176,0,0.013,0.218157182,0,0.59150205,0,0.46018018,0.19223147,0.217,0.89,0.425,4/20/2004,03.00.00,0
0,0.393137255,0,0.019,0.234417344,0,0.567648155,0,0.473873874,0.214030916,0.22,0.902,0.433,4/20/2004,04.00.00,0
0,0.430392157,0,0.046,0.290876242,0,0.469623556,0,0.508108108,0.27150218,0.224,0.897,0.439,4/20/2004,05.00.00,0
0,0.524509804,0,0.119,0.398825655,0,0.351099515,0,0.585585586,0.366627031,0.231,0.895,0.445,4/20/2004,06.00.00,0
0,0.700980392,0,0.325,0.594399277,0,0.237793515,0,0.745585586,0.547760602,0.247,0.873,0.455,4/20/2004,07.00.00,0
0,0.767156863,0,0.469,0.699638663,0,0.201267238,0,0.863423423,0.652001585,0.276,0.78,0.444,4/20/2004,08.00.00,0
0,0.669117647,0,0.316,0.586720867,0,0.237420798,0,0.72036036,0.600079271,0.325,0.681,0.446,4/20/2004,09.00.00,0
0,0.660784314,0,0.268,0.548328817,0,0.252702199,0,0.675315315,0.598097503,0.359,0.635,0.457,4/20/2004,10.00.00,0
0,0.642647059,0,0.305,0.577687444,0,0.241520686,0,0.717477477,0.602457392,0.406,0.576,0.473,4/20/2004,11.00.00,0
0,0.638235294,0,0.294,0.569105691,0,0.245247857,0,0.70990991,0.583036068,0.516,0.423,0.466,4/20/2004,12.00.00,0
0,0.612745098,0,0.248,0.529810298,0,0.268356318,0,0.673873874,0.508125248,0.489,0.446,0.458,4/20/2004,13.00.00,0
0,0.530882353,0,0.162,0.446251129,0,0.320163996,0,0.592072072,0.397938962,0.491,0.419,0.434,4/20/2004,14.00.00,0
0,0.492647059,0,0.124,0.403794038,0,0.356317555,0,0.551351351,0.282996433,0.534,0.354,0.409,4/20/2004,15.00.00,0
0,0.553431373,0,0.215,0.5,0,0.314573239,0,0.627747748,0.372572335,0.581,0.303,0.397,4/20/2004,16.00.00,0
0,0.650490196,0,0.309,0.582204155,0,0.265374581,0,0.698378378,0.504161712,0.578,0.337,0.44,4/20/2004,17.00.00,0
0,0.7,0,0.397,0.649051491,0,0.223257548,0,0.776936937,0.604835513,0.507,0.445,0.479,4/20/2004,18.00.00,0
0,0.699019608,0,0.375,0.632339657,0,0.22810287,0,0.757477477,0.589774078,0.446,0.507,0.464,4/20/2004,19.00.00,0
0,0.642156863,0,0.323,0.593044264,0,0.247111442,0,0.705585586,0.584621482,0.401,0.534,0.433,4/20/2004,20.00.00,0
0,0.546078431,0,0.193,0.478319783,0,0.295191949,0,0.614054054,0.468489893,0.377,0.568,0.428,4/20/2004,21.00.00,0
0,0.485784314,0,0.121,0.401535682,0,0.347372344,0,0.558558559,0.36979786,0.359,0.586,0.42,4/20/2004,22.00.00,0
0,0.533823529,0,0.141,0.424570912,0,0.322773015,0,0.572612613,0.396749901,0.318,0.666,0.427,4/20/2004,23.00.00,0
0,0.446568627,0,0.071,0.334236676,0,0.399180022,0,0.508828829,0.299643282,0.318,0.639,0.408,4/21/2004,00.00.00,0
0,0.492647059,0,0.091,0.362240289,0,0.363771897,0,0.531171171,0.377328577,0.274,0.763,0.432,4/21/2004,01.00.00,0
0,0.423039216,0,0.05,0.299909666,0,0.43682445,0,0.497657658,0.320253666,0.296,0.696,0.418,4/21/2004,02.00.00,0
0,0.420098039,0,0.047,0.294941283,0,0.446142378,0,0.495495495,0.308759413,0.244,0.8,0.415,4/21/2004,03.00.00,0
0,0.394117647,0,0.031,0.264227642,0,0.484904957,0,0.475315315,0.284185493,0.253,0.762,0.405,4/21/2004,04.00.00,0
0,0.426960784,0,0.058,0.313459801,0,0.432351845,0,0.512072072,0.308759413,0.226,0.809,0.398,4/21/2004,05.00.00,0
0,0.507352941,0,0.137,0.419602529,0,0.330600075,0,0.576216216,0.399920729,0.229,0.799,0.396,4/21/2004,06.00.00,0
0,0.741666667,0,0.424,0.668473351,0,0.213194186,0,0.81045045,0.632183908,0.265,0.744,0.407,4/21/2004,07.00.00,0
0,0.846078431,0,0.633,0.802168022,0,0.178158777,0,0.967207207,0.768925882,0.314,0.656,0.416,4/21/2004,08.00.00,1
0,0.684313725,0,0.314,0.585365854,0,0.23071189,0,0.717477477,0.645263575,0.381,0.566,0.433,4/21/2004,09.00.00,0
0,0.653431373,0,0.268,0.547425474,0,0.248975028,0,0.668108108,0.62346413,0.5,0.416,0.441,4/21/2004,10.00.00,0
0,0.569117647,0,0.173,0.458897922,0,0.316436824,0,0.591711712,0.470471661,0.547,0.348,0.419,4/21/2004,11.00.00,0
0,0.529901961,0,0.166,0.451671183,0,0.335445397,0,0.562522523,0.356718193,0.581,0.301,0.393,4/21/2004,12.00.00,0
0,0.526960784,0,0.165,0.450767841,0,0.340663436,0,0.567207207,0.317082838,0.578,0.294,0.383,4/21/2004,13.00.00,0
0,0.517156863,0,0.151,0.435411021,0,0.355199404,0,0.545225225,0.305192231,0.59,0.28,0.376,4/21/2004,14.00.00,0
0,0.516176471,0,0.146,0.430442638,0,0.368244502,0,0.534414414,0.300435989,0.605,0.25,0.35,4/21/2004,15.00.00,0
0,0.532843137,0,0.199,0.485546522,0,0.35184495,0,0.561441441,0.351169243,0.612,0.231,0.328,4/21/2004,16.00.00,0
0,0.639215686,0,0.311,0.583107498,0,0.285128587,0,0.662342342,0.483154974,0.578,0.272,0.355,4/21/2004,17.00.00,0
0,0.796568627,0,0.51,0.726287263,0,0.224002982,0,0.818378378,0.683709869,0.567,0.326,0.41,4/21/2004,18.00.00,0
0,0.808333333,0,0.527,0.737579042,0,0.217666791,0,0.838918919,0.69163694,0.534,0.38,0.439,4/21/2004,19.00.00,0
0,0.707352941,0,0.408,0.657181572,0,0.236675363,0,0.747027027,0.634165676,0.48,0.406,0.406,4/21/2004,20.00.00,0
0,0.592647059,0,0.257,0.538843722,0,0.280655982,0,0.625945946,0.519223147,0.444,0.445,0.404,4/21/2004,21.00.00,0
0,0.541666667,0,0.166,0.451671183,0,0.31569139,0,0.566846847,0.478795085,0.43,0.475,0.416,4/21/2004,22.00.00,0
0,0.5,0,0.111,0.389792231,0,0.347745061,0,0.537657658,0.42568371,0.422,0.516,0.442,4/21/2004,23.00.00,0
0,0.485784314,0,0.1,0.37398374,0,0.362653746,0,0.529369369,0.393579073,0.383,0.573,0.441,4/22/2004,00.00.00,0
0,0.459313725,0,0.072,0.334688347,0,0.3943347,0,0.511711712,0.365834324,0.363,0.602,0.438,4/22/2004,01.00.00,0
0,0.432352941,0,0.047,0.295392954,0,0.42527022,0,0.496216216,0.324613555,0.359,0.603,0.434,4/22/2004,02.00.00,0
0,0.413235294,0,0.035,0.269647696,0,0.462914648,0,0.483243243,0.288149029,0.321,0.667,0.43,4/22/2004,03.00.00,0
0,0.401470588,0,0.027,0.255194219,0,0.482668654,0,0.474234234,0.275069362,0.298,0.706,0.426,4/22/2004,04.00.00,0
0,0.408823529,0,0.035,0.269196025,0,0.475587029,0,0.481081081,0.288149029,0.3,0.671,0.408,4/22/2004,05.00.00,0
0,0.478921569,0,0.089,0.361336947,0,0.368989937,0,0.531171171,0.367023385,0.274,0.723,0.406,4/22/2004,06.00.00,0
0,0.604901961,0,0.217,0.500903342,0,0.285874022,0,0.623063063,0.473246136,0.312,0.645,0.405,4/22/2004,07.00.00,0
0,0.687745098,0,0.339,0.605239386,0,0.232202758,0,0.721801802,0.595323028,0.341,0.6,0.408,4/22/2004,08.00.00,0
0,0.753921569,0,0.41,0.658536585,0,0.221021245,0,0.787747748,0.690844233,0.43,0.469,0.41,4/22/2004,09.00.00,0
0,0.658333333,0,0.316,0.586720867,0,0.258665673,0,0.700900901,0.61117717,0.531,0.345,0.397,4/22/2004,10.00.00,0
0,0.609313725,0,0.242,0.524841915,0,0.285501305,0,0.623783784,0.536662703,0.585,0.302,0.4,4/22/2004,11.00.00,0
0,0.58872549,0,0.214,0.497741644,0,0.303391726,0,0.606126126,0.465715418,0.63,0.275,0.41,4/22/2004,12.00.00,0
0,0.549509804,0,0.174,0.460704607,0,0.332836377,0,0.571171171,0.363059849,0.635,0.269,0.406,4/22/2004,13.00.00,0
0,0.532843137,0,0.192,0.476513098,0,0.338427134,0,0.562882883,0.324217202,0.628,0.237,0.35,4/22/2004,14.00.00,0
0,0.571078431,0,0.275,0.5532972,0,0.307118897,0,0.603963964,0.407451447,0.691,0.185,0.321,4/22/2004,15.00.00,0
0,0.6,0,0.3,0.573622403,0,0.300409989,0,0.626666667,0.441141498,0.702,0.183,0.325,4/22/2004,16.00.00,0
0,0.701470588,0,0.425,0.669376694,0,0.253074916,0,0.72972973,0.567181926,0.659,0.231,0.37,4/22/2004,17.00.00,0
0,0.70245098,0,0.444,0.682023487,0,0.246366008,0,0.734414414,0.595719382,0.578,0.274,0.356,4/22/2004,18.00.00,0
0,0.748529412,0,0.549,0.751580849,0,0.218784942,0,0.806486486,0.703527547,0.534,0.333,0.384,4/22/2004,19.00.00,0
